127.0.0.1, 2019-04-21 03:23:57, GET, /hw2/default/download/movies.movie_cover.88bec7b0141d533f.736872656b2e6a7067.jpg, HTTP/1.1, 304, 0.633817
127.0.0.1, 2019-04-21 03:23:58, GET, /hw2/default/download/movies.movie_cover.a7b97a1bf9e3d996.6d696e696f6e732e6a7067.jpg, HTTP/1.1, 304, 0.055203
127.0.0.1, 2019-04-21 03:23:58, GET, /hw2/default/download/movies.movie_cover.b1fa7727373adba5.73706f6e6765626f622e6a7067.jpg, HTTP/1.1, 304, 0.060103
127.0.0.1, 2019-04-21 03:23:58, GET, /hw2/default/download/movies.movie_cover.a53bdb8b8acc24df.6e656d6f2e6a7067.jpg, HTTP/1.1, 304, 0.096284
127.0.0.1, 2019-04-21 03:23:59, GET, /hw2/default/download/movies.movie_cover.b30e1fc3125002f3.646f776e6c6f6164202832292e6a7067.jpg, HTTP/1.1, 304, 0.181901
127.0.0.1, 2019-04-21 03:23:59, GET, /hw2/default/download/movies.movie_cover.8916722dd6dd8ec9.746f795f73746f72792e6a7067.jpg, HTTP/1.1, 304, 0.246848
127.0.0.1, 2019-04-21 03:23:59, GET, /hw2/static/images/favicon.ico, HTTP/1.1, 200, 0.007564
127.0.0.1, 2019-04-21 03:45:38, GET, /hw2/default/index, HTTP/1.1, 500, 1.216157
127.0.0.1, 2019-04-21 03:45:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001039
127.0.0.1, 2019-04-21 03:45:45, GET, /admin/default/ticket/hw2/127.0.0.1.2019-04-21.03-45-37.9646d3f6-ae9e-48aa-86c7-275a341d0966, HTTP/1.1, 200, 0.480091
127.0.0.1, 2019-04-21 03:45:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000548
127.0.0.1, 2019-04-21 03:49:40, GET, /hw2/default/index, HTTP/1.1, 500, 0.280522
127.0.0.1, 2019-04-21 03:49:42, GET, /favicon.ico, HTTP/1.1, 400, 0.005770
127.0.0.1, 2019-04-21 03:49:45, GET, /admin/default/ticket/hw2/127.0.0.1.2019-04-21.03-49-40.94c0eb39-3fff-4219-b1b9-e5e92a7951ae, HTTP/1.1, 200, 0.514625
127.0.0.1, 2019-04-21 03:49:47, GET, /favicon.ico, HTTP/1.1, 400, 0.002127
127.0.0.1, 2019-04-21 03:50:27, GET, /hw2/default/index, HTTP/1.1, 500, 0.238408
127.0.0.1, 2019-04-21 03:50:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000512
127.0.0.1, 2019-04-21 03:50:31, GET, /admin/default/ticket/hw2/127.0.0.1.2019-04-21.03-50-26.d7d1991f-1ddc-44c3-bfac-70e009593cb7, HTTP/1.1, 200, 0.396522
